seed,problem,backbone,found,total,fraction
0,3,center_only,4,15,0.26666666666666666
0,3,seven_points,15,15,1.0
0,3,halfplane_grid,15,15,1.0
0,4,center_only,5,15,0.3333333333333333
0,4,seven_points,13,15,0.8666666666666667
0,4,halfplane_grid,15,15,1.0
1,3,center_only,0,13,0.0
1,3,seven_points,13,13,1.0
1,3,halfplane_grid,13,13,1.0
1,4,center_only,0,13,0.0
1,4,seven_points,5,13,0.38461538461538464
1,4,halfplane_grid,13,13,1.0
2,3,center_only,7,15,0.4666666666666667
2,3,seven_points,15,15,1.0
2,3,halfplane_grid,15,15,1.0
2,4,center_only,6,15,0.4
2,4,seven_points,13,15,0.8666666666666667
2,4,halfplane_grid,15,15,1.0
3,3,center_only,0,15,0.0
3,3,seven_points,15,15,1.0
3,3,halfplane_grid,15,15,1.0
3,4,center_only,0,15,0.0
3,4,seven_points,9,15,0.6
3,4,halfplane_grid,15,15,1.0
4,3,center_only,6,15,0.4
4,3,seven_points,15,15,1.0
4,3,halfplane_grid,15,15,1.0
4,4,center_only,6,15,0.4
4,4,seven_points,14,15,0.9333333333333333
4,4,halfplane_grid,15,15,1.0
5,3,center_only,0,14,0.0
5,3,seven_points,14,14,1.0
5,3,halfplane_grid,14,14,1.0
5,4,center_only,0,14,0.0
5,4,seven_points,6,14,0.42857142857142855
5,4,halfplane_grid,14,14,1.0
6,3,center_only,8,13,0.6153846153846154
6,3,seven_points,13,13,1.0
6,3,halfplane_grid,13,13,1.0
6,4,center_only,7,13,0.5384615384615384
6,4,seven_points,10,13,0.7692307692307693
6,4,halfplane_grid,13,13,1.0
7,3,center_only,0,16,0.0
7,3,seven_points,16,16,1.0
7,3,halfplane_grid,16,16,1.0
7,4,center_only,0,16,0.0
7,4,seven_points,4,16,0.25
7,4,halfplane_grid,16,16,1.0
8,3,center_only,8,15,0.5333333333333333
8,3,seven_points,15,15,1.0
8,3,halfplane_grid,15,15,1.0
8,4,center_only,5,15,0.3333333333333333
8,4,seven_points,14,15,0.9333333333333333
8,4,halfplane_grid,15,15,1.0
9,3,center_only,0,12,0.0
9,3,seven_points,12,12,1.0
9,3,halfplane_grid,12,12,1.0
9,4,center_only,0,12,0.0
9,4,seven_points,3,12,0.25
9,4,halfplane_grid,12,12,1.0
10,3,center_only,9,15,0.6
10,3,seven_points,15,15,1.0
10,3,halfplane_grid,15,15,1.0
10,4,center_only,4,15,0.26666666666666666
10,4,seven_points,10,15,0.6666666666666666
10,4,halfplane_grid,15,15,1.0
11,3,center_only,0,10,0.0
11,3,seven_points,10,10,1.0
11,3,halfplane_grid,10,10,1.0
11,4,center_only,0,10,0.0
11,4,seven_points,3,10,0.3
11,4,halfplane_grid,10,10,1.0
12,3,center_only,6,14,0.42857142857142855
12,3,seven_points,14,14,1.0
12,3,halfplane_grid,14,14,1.0
12,4,center_only,1,14,0.07142857142857142
12,4,seven_points,14,14,1.0
12,4,halfplane_grid,14,14,1.0
13,3,center_only,0,16,0.0
13,3,seven_points,16,16,1.0
13,3,halfplane_grid,16,16,1.0
13,4,center_only,0,16,0.0
13,4,seven_points,6,16,0.375
13,4,halfplane_grid,16,16,1.0
14,3,center_only,5,11,0.45454545454545453
14,3,seven_points,11,11,1.0
14,3,halfplane_grid,11,11,1.0
14,4,center_only,3,11,0.2727272727272727
14,4,seven_points,10,11,0.9090909090909091
14,4,halfplane_grid,11,11,1.0
15,3,center_only,0,16,0.0
15,3,seven_points,16,16,1.0
15,3,halfplane_grid,16,16,1.0
15,4,center_only,0,16,0.0
15,4,seven_points,6,16,0.375
15,4,halfplane_grid,16,16,1.0
16,3,center_only,6,13,0.46153846153846156
16,3,seven_points,13,13,1.0
16,3,halfplane_grid,13,13,1.0
16,4,center_only,5,13,0.38461538461538464
16,4,seven_points,11,13,0.8461538461538461
16,4,halfplane_grid,13,13,1.0
17,3,center_only,0,15,0.0
17,3,seven_points,15,15,1.0
17,3,halfplane_grid,15,15,1.0
17,4,center_only,0,15,0.0
17,4,seven_points,4,15,0.26666666666666666
17,4,halfplane_grid,15,15,1.0
18,3,center_only,7,16,0.4375
18,3,seven_points,16,16,1.0
18,3,halfplane_grid,16,16,1.0
18,4,center_only,5,16,0.3125
18,4,seven_points,15,16,0.9375
18,4,halfplane_grid,16,16,1.0
19,3,center_only,0,14,0.0
19,3,seven_points,14,14,1.0
19,3,halfplane_grid,14,14,1.0
19,4,center_only,0,14,0.0
19,4,seven_points,4,14,0.2857142857142857
19,4,halfplane_grid,14,14,1.0
20,3,center_only,10,16,0.625
20,3,seven_points,16,16,1.0
20,3,halfplane_grid,16,16,1.0
20,4,center_only,9,16,0.5625
20,4,seven_points,14,16,0.875
20,4,halfplane_grid,16,16,1.0
21,3,center_only,0,12,0.0
21,3,seven_points,12,12,1.0
21,3,halfplane_grid,12,12,1.0
21,4,center_only,0,12,0.0
21,4,seven_points,2,12,0.16666666666666666
21,4,halfplane_grid,12,12,1.0
22,3,center_only,8,15,0.5333333333333333
22,3,seven_points,15,15,1.0
22,3,halfplane_grid,15,15,1.0
22,4,center_only,4,15,0.26666666666666666
22,4,seven_points,14,15,0.9333333333333333
22,4,halfplane_grid,15,15,1.0
23,3,center_only,0,10,0.0
23,3,seven_points,10,10,1.0
23,3,halfplane_grid,10,10,1.0
23,4,center_only,0,10,0.0
23,4,seven_points,3,10,0.3
23,4,halfplane_grid,10,10,1.0
24,3,center_only,8,12,0.6666666666666666
24,3,seven_points,12,12,1.0
