state_key,planner_kind,metric,common_candidates,candidate_pairs,concordant,discordant,both_tied,current_only_tied,shadow_only_tied,top_sets_overlap,top_sets_equal,current_top_size,shadow_top_size
q3_0000_P3_current_grid_v1/state=0/planner=q3_active,q3_active,D_worst,15,105,103,1,0,0,1,True,True,1,1
q3_0000_P3_current_grid_v1/state=0/planner=q3_active,q3_active,R_worst,15,105,103,1,0,0,1,True,True,1,1
q3_0000_P3_current_grid_v1/state=0/planner=q3_active,q3_active,G_worst,15,105,103,1,0,0,1,True,True,1,1
q3_0000_P3_current_grid_v1/state=0/planner=q3_active,q3_active,sampled_cert_score,15,105,25,42,0,0,38,False,False,1,1
q3_0000_P3_current_grid_v1/state=0/planner=q3_active,q3_active,certified_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=0/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=1/planner=q3_active,q3_active,D_worst,15,105,100,5,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=1/planner=q3_active,q3_active,R_worst,15,105,100,5,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=1/planner=q3_active,q3_active,G_worst,15,105,87,3,0,0,15,True,False,1,6
q3_0000_P3_current_grid_v1/state=1/planner=q3_active,q3_active,sampled_cert_score,15,105,84,3,0,0,18,True,False,1,6
q3_0000_P3_current_grid_v1/state=1/planner=q3_active,q3_active,certified_completion_cost,6,15,6,9,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=1/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=2/planner=q3_active,q3_active,D_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=2/planner=q3_active,q3_active,R_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=2/planner=q3_active,q3_active,G_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=2/planner=q3_active,q3_active,sampled_cert_score,15,105,55,16,0,0,34,False,False,1,1
